mean_1m_temp_degC,mean_0_5m_temp_degC,model,valid_date,forecast_date
11.717533,11.196585,1,2024-06-01,2024-06-01
12.0045395,11.335281,1,2024-06-02,2024-06-01
12.350647,11.72166,1,2024-06-03,2024-06-01
12.162662,12.014012,1,2024-06-04,2024-06-01
12.601877,12.500168,1,2024-06-05,2024-06-01
12.447593,11.578356,1,2024-06-06,2024-06-01
12.214398,11.131329,1,2024-06-07,2024-06-01
12.479162,11.6678,2,2024-06-01,2024-06-01
13.080759,11.939253,2,2024-06-02,2024-06-01
13.499991,12.540067,2,2024-06-03,2024-06-01
14.507367,13.827598,2,2024-06-04,2024-06-01
15.082885,14.273671,2,2024-06-05,2024-06-01
15.08579,12.839222,2,2024-06-06,2024-06-01
16.069586,13.195063,2,2024-06-07,2024-06-01
11.954582,10.2102585,3,2024-06-01,2024-06-01
11.736443,10.225233,3,2024-06-02,2024-06-01
12.019804,10.969992,3,2024-06-03,2024-06-01
12.765274,10.972232,3,2024-06-04,2024-06-01
13.453959,11.288469,3,2024-06-05,2024-06-01
14.405342,11.08615,3,2024-06-06,2024-06-01
14.510972,11.000477,3,2024-06-07,2024-06-01
11.616385,11.098265,4,2024-06-01,2024-06-01
12.018484,11.248136,4,2024-06-02,2024-06-01
12.40398,11.731625,4,2024-06-03,2024-06-01
12.206464,12.284519,4,2024-06-04,2024-06-01
12.255066,12.501569,4,2024-06-05,2024-06-01
11.857502,11.18028,4,2024-06-06,2024-06-01
12.677084,11.981722,4,2024-06-07,2024-06-01
12.125649,11.414835,1,2024-06-02,2024-06-02
12.40161,11.77762,1,2024-06-03,2024-06-02
12.182828,12.039904,1,2024-06-04,2024-06-02
12.610801,12.511343,1,2024-06-05,2024-06-02
12.45163,11.582913,1,2024-06-06,2024-06-02
12.2156515,11.132659,1,2024-06-07,2024-06-02
11.661498,10.79912,1,2024-06-08,2024-06-02
13.008199,11.861916,2,2024-06-02,2024-06-02
13.451392,12.488428,2,2024-06-03,2024-06-02
14.488336,13.81372,2,2024-06-04,2024-06-02
15.082588,14.276556,2,2024-06-05,2024-06-02
15.086949,12.840963,2,2024-06-06,2024-06-02
16.069778,13.195221,2,2024-06-07,2024-06-02
15.608803,12.738132,2,2024-06-08,2024-06-02
12.349171,10.596967,3,2024-06-02,2024-06-02
12.336903,11.27169,3,2024-06-03,2024-06-02
12.887353,11.081081,3,2024-06-04,2024-06-02
13.521115,11.339731,3,2024-06-05,2024-06-02
14.439699,11.112157,3,2024-06-06,2024-06-02
14.521131,11.009733,3,2024-06-07,2024-06-02
14.6217375,11.146328,3,2024-06-08,2024-06-02
12.034646,11.340197,4,2024-06-02,2024-06-02
12.425688,11.769376,4,2024-06-03,2024-06-02
12.217356,12.299169,4,2024-06-04,2024-06-02
12.259177,12.506549,4,2024-06-05,2024-06-02
11.858292,11.180808,4,2024-06-06,2024-06-02
12.677124,11.981638,4,2024-06-07,2024-06-02
12.277616,11.435446,4,2024-06-08,2024-06-02
12.465351,11.869708,1,2024-06-03,2024-06-03
12.212558,12.079418,1,2024-06-04,2024-06-03
12.624247,12.528263,1,2024-06-05,2024-06-03
12.457735,11.589815,1,2024-06-06,2024-06-03
12.217548,11.134676,1,2024-06-07,2024-06-03
11.661867,10.79954,1,2024-06-08,2024-06-03
12.012114,10.699689,1,2024-06-09,2024-06-03
13.109413,12.3283825,2,2024-06-03,2024-06-03
14.384094,13.765628,2,2024-06-04,2024-06-03
15.093102,14.3061695,2,2024-06-05,2024-06-03
15.094346,12.850424,2,2024-06-06,2024-06-03
16.070866,13.19597,2,2024-06-07,2024-06-03
15.608472,12.737726,2,2024-06-08,2024-06-03
15.746599,12.769468,2,2024-06-09,2024-06-03
12.793484,11.518934,3,2024-06-03,2024-06-03
13.073138,11.224916,3,2024-06-04,2024-06-03
13.6192875,11.413138,3,2024-06-05,2024-06-03
14.489626,11.149884,3,2024-06-06,2024-06-03
14.535905,11.023195,3,2024-06-07,2024-06-03
