datetime,value,date
2026-05-15T00:00:00.000-07:00,0,2026-05-15
2026-05-16T00:00:00.000-07:00,0,2026-05-16
2026-05-17T00:00:00.000-07:00,0,2026-05-17
2026-05-18T00:00:00.000-07:00,0,2026-05-18
2026-05-19T00:00:00.000-07:00,15,2026-05-19
2026-05-20T00:00:00.000-07:00,342,2026-05-20
2026-05-21T00:00:00.000-07:00,79,2026-05-21
2026-05-22T00:00:00.000-07:00,190,2026-05-22
2026-05-23T00:00:00.000-07:00,200,2026-05-23
2026-05-24T00:00:00.000-07:00,149,2026-05-24
2026-05-25T00:00:00.000-07:00,164,2026-05-25
2026-05-26T00:00:00.000-07:00,104,2026-05-26
2026-05-27T00:00:00.000-07:00,0,2026-05-27
2026-05-28T00:00:00.000-07:00,0,2026-05-28
2026-05-29T00:00:00.000-07:00,0,2026-05-29
2026-05-30T00:00:00.000-07:00,0,2026-05-30
2026-05-31T00:00:00.000-07:00,0,2026-05-31
2026-06-01T00:00:00.000-07:00,0,2026-06-01
2026-06-02T00:00:00.000-07:00,0,2026-06-02
2026-06-03T00:00:00.000-07:00,0,2026-06-03
2026-06-04T00:00:00.000-07:00,0,2026-06-04
2026-06-05T00:00:00.000-07:00,0,2026-06-05
2026-06-06T00:00:00.000-07:00,0,2026-06-06
2026-06-07T00:00:00.000-07:00,0,2026-06-07
2026-06-08T00:00:00.000-07:00,0,2026-06-08
2026-06-09T00:00:00.000-07:00,0,2026-06-09
2026-06-10T00:00:00.000-07:00,0,2026-06-10
2026-06-11T00:00:00.000-07:00,0,2026-06-11
2026-06-12T00:00:00.000-07:00,0,2026-06-12
2026-06-13T00:00:00.000-07:00,0,2026-06-13
2026-06-14T00:00:00.000-07:00,0,2026-06-14
2026-06-15T00:00:00.000-07:00,0,2026-06-15
2026-06-16T00:00:00.000-07:00,0,2026-06-16
2026-06-17T00:00:00.000-07:00,NA,2026-06-17
2026-06-18T00:00:00.000-07:00,NA,2026-06-18
