dateTime,parameter,value,code
2026-05-15T06:00:00Z,temp_C,8,P
2026-05-15T06:00:00Z,flow_cfs,184,P
2026-05-15T06:00:00Z,gauge_ht_ft,8.7,P
2026-05-15T06:00:00Z,specCond_uscm,56,P
2026-05-15T06:00:00Z,pH,7.7,P
2026-05-15T06:00:00Z,chla_rfu,1.02,P
2026-05-15T06:00:00Z,turb_NTU,1.3,P
2026-05-15T06:00:00Z,X_72255,0.33,P
2026-05-15T06:10:00Z,temp_C,8.1,P
2026-05-15T06:10:00Z,flow_cfs,207,P
2026-05-15T06:10:00Z,gauge_ht_ft,8.7,P
2026-05-15T06:10:00Z,specCond_uscm,56,P
2026-05-15T06:10:00Z,pH,7.8,P
2026-05-15T06:10:00Z,chla_rfu,1.31,P
2026-05-15T06:10:00Z,turb_NTU,1.5,P
2026-05-15T06:10:00Z,X_72255,0.37,P
2026-05-15T06:20:00Z,temp_C,8.1,P
2026-05-15T06:20:00Z,flow_cfs,201,P
2026-05-15T06:20:00Z,gauge_ht_ft,8.69,P
2026-05-15T06:20:00Z,specCond_uscm,56,P
2026-05-15T06:20:00Z,pH,7.8,P
2026-05-15T06:20:00Z,chla_rfu,1.21,P
2026-05-15T06:20:00Z,turb_NTU,1.2,P
2026-05-15T06:20:00Z,X_72255,0.36,P
2026-05-15T06:30:00Z,temp_C,8.1,P
2026-05-15T06:30:00Z,flow_cfs,213,P
2026-05-15T06:30:00Z,gauge_ht_ft,8.7,P
2026-05-15T06:30:00Z,specCond_uscm,56,P
2026-05-15T06:30:00Z,pH,7.8,P
2026-05-15T06:30:00Z,chla_rfu,1.2,P
2026-05-15T06:30:00Z,turb_NTU,1.2,P
2026-05-15T06:30:00Z,X_72255,0.38,P
2026-05-15T06:40:00Z,temp_C,8.1,P
2026-05-15T06:40:00Z,flow_cfs,207,P
2026-05-15T06:40:00Z,gauge_ht_ft,8.69,P
2026-05-15T06:40:00Z,specCond_uscm,56,P
2026-05-15T06:40:00Z,pH,7.8,P
2026-05-15T06:40:00Z,chla_rfu,1.29,P
2026-05-15T06:40:00Z,turb_NTU,1.2,P
2026-05-15T06:40:00Z,X_72255,0.37,P
2026-05-15T06:50:00Z,temp_C,8.1,P
2026-05-15T06:50:00Z,flow_cfs,207,P
2026-05-15T06:50:00Z,gauge_ht_ft,8.7,P
2026-05-15T06:50:00Z,specCond_uscm,56,P
2026-05-15T06:50:00Z,pH,7.8,P
2026-05-15T06:50:00Z,chla_rfu,1.24,P
2026-05-15T06:50:00Z,turb_NTU,1.2,P
2026-05-15T06:50:00Z,X_72255,0.37,P
2026-05-15T07:00:00Z,temp_C,8.1,P
2026-05-15T07:00:00Z,flow_cfs,201,P
2026-05-15T07:00:00Z,gauge_ht_ft,8.69,P
2026-05-15T07:00:00Z,specCond_uscm,56,P
2026-05-15T07:00:00Z,pH,7.8,P
2026-05-15T07:00:00Z,chla_rfu,1.17,P
2026-05-15T07:00:00Z,turb_NTU,1.2,P
2026-05-15T07:00:00Z,X_72255,0.36,P
2026-05-15T07:10:00Z,temp_C,8.1,P
2026-05-15T07:10:00Z,flow_cfs,207,P
2026-05-15T07:10:00Z,gauge_ht_ft,8.69,P
2026-05-15T07:10:00Z,specCond_uscm,56,P
2026-05-15T07:10:00Z,pH,7.8,P
2026-05-15T07:10:00Z,chla_rfu,1.33,P
2026-05-15T07:10:00Z,turb_NTU,1.2,P
2026-05-15T07:10:00Z,X_72255,0.37,P
2026-05-15T07:20:00Z,temp_C,8.1,P
2026-05-15T07:20:00Z,flow_cfs,201,P
2026-05-15T07:20:00Z,gauge_ht_ft,8.69,P
2026-05-15T07:20:00Z,specCond_uscm,56,P
2026-05-15T07:20:00Z,pH,7.8,P
2026-05-15T07:20:00Z,chla_rfu,1.19,P
2026-05-15T07:20:00Z,turb_NTU,1.2,P
2026-05-15T07:20:00Z,X_72255,0.36,P
2026-05-15T07:30:00Z,temp_C,8.1,P
2026-05-15T07:30:00Z,flow_cfs,212,P
2026-05-15T07:30:00Z,gauge_ht_ft,8.69,P
2026-05-15T07:30:00Z,specCond_uscm,56,P
2026-05-15T07:30:00Z,pH,7.8,P
2026-05-15T07:30:00Z,chla_rfu,1.07,P
2026-05-15T07:30:00Z,turb_NTU,1.2,P
2026-05-15T07:30:00Z,X_72255,0.38,P
2026-05-15T07:40:00Z,temp_C,8.2,P
2026-05-15T07:40:00Z,flow_cfs,190,P
2026-05-15T07:40:00Z,gauge_ht_ft,8.69,P
2026-05-15T07:40:00Z,specCond_uscm,56,P
2026-05-15T07:40:00Z,pH,7.8,P
2026-05-15T07:40:00Z,chla_rfu,1.37,P
2026-05-15T07:40:00Z,turb_NTU,1.2,P
2026-05-15T07:40:00Z,X_72255,0.34,P
2026-05-15T07:50:00Z,temp_C,8.2,P
2026-05-15T07:50:00Z,flow_cfs,201,P
2026-05-15T07:50:00Z,gauge_ht_ft,8.69,P
2026-05-15T07:50:00Z,specCond_uscm,56,P
2026-05-15T07:50:00Z,pH,7.8,P
2026-05-15T07:50:00Z,chla_rfu,1.17,P
2026-05-15T07:50:00Z,turb_NTU,1.3,P
2026-05-15T07:50:00Z,X_72255,0.36,P
2026-05-15T08:00:00Z,temp_C,8.1,P
2026-05-15T08:00:00Z,flow_cfs,195,P
2026-05-15T08:00:00Z,gauge_ht_ft,8.68,P
2026-05-15T08:00:00Z,specCond_uscm,56,P
2026-05-15T08:00:00Z,pH,7.8,P
2026-05-15T08:00:00Z,chla_rfu,1.45,P
2026-05-15T08:00:00Z,turb_NTU,1.2,P
2026-05-15T08:00:00Z,X_72255,0.35,P
2026-05-15T08:10:00Z,temp_C,8.1,P
2026-05-15T08:10:00Z,flow_cfs,195,P
2026-05-15T08:10:00Z,gauge_ht_ft,8.69,P
2026-05-15T08:10:00Z,specCond_uscm,56,P
2026-05-15T08:10:00Z,pH,7.8,P
2026-05-15T08:10:00Z,chla_rfu,1.52,P
2026-05-15T08:10:00Z,turb_NTU,1.2,P
2026-05-15T08:10:00Z,X_72255,0.35,P
2026-05-15T08:20:00Z,temp_C,8.1,P
2026-05-15T08:20:00Z,flow_cfs,195,P
2026-05-15T08:20:00Z,gauge_ht_ft,8.69,P
2026-05-15T08:20:00Z,specCond_uscm,56,P
2026-05-15T08:20:00Z,pH,7.8,P
2026-05-15T08:20:00Z,chla_rfu,1.24,P
2026-05-15T08:20:00Z,turb_NTU,1.2,P
